Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1971,1972-07-02 12:06:00,0.29,0.815,,0.815,0,570,124.0,
1972,1973-04-16 19:18:00,0.847,12.7,van Bladeren Record,12.7,0,1346,352.0,
1973,1974-04-03 02:54:00,0.938,18.5,van Bladeren Record,18.5,0,1609,358.0,
1974,1975-04-14 00:24:00,0.922,17.4,van Bladeren Record,17.4,0,1812,357.0,
1975,1976-05-04 04:06:00,1.54,81.0,van Bladeren Record,81.0,0,1429,357.0,
1976,1977-02-01 03:18:00,2.24,210.1,van Bladeren Record,210.1,0,1515,363.0,
1977,1978-01-28 04:30:00,2.48,271.5,van Bladeren Record,271.5,0,1983,364.0,
1978,1979-01-12 20:48:00,1.01,23.8,van Bladeren Record,23.8,0,1990,365.0,
1979,1979-11-25 21:54:00,1.06,27.9,van Bladeren Record,27.9,0,4344,366.0,
1980,1981-03-04 12:30:00,0.995,22.7,van Bladeren Record,22.7,0,4308,365.0,
1981,1982-01-15 01:00:00,0.965,20.4,van Bladeren Record,20.4,0,2741,351.0,
1982,1982-12-15 00:36:00,0.685,6.2,van Bladeren Record,6.2,0,2915,353.0,
1983,1984-01-01 04:36:00,0.735,7.8,van Bladeren Record,7.8,0,2128,360.0,
1984,1985-01-17 08:12:00,1.23,43.9,van Bladeren Record,43.9,0,2283,355.0,
1985,1985-11-02 05:24:00,1.19,39.9,van Bladeren Record,39.9,0,2470,365.0,
1986,1987-03-21 23:36:00,1.84,127.4,van Bladeren Record,127.4,0,3432,363.0,
1987,1988-03-12 14:42:00,1.429,66.4,van Bladeren Record,66.4,0,3387,366.0,
1988,1989-02-17 06:54:00,0.838,12.2,van Bladeren Record,12.2,0,3002,365.0,
1989,1990-04-29 15:42:00,0.748,8.3,van Bladeren Record,8.3,0,2881,365.0,
1990,1991-02-18 23:36:00,0.973,21.0,van Bladeren Record,21.0,0,2112,360.0,
1991,1991-12-01 00:18:00,0.648,5.3,van Bladeren Record,5.3,0,1645,344.0,
1992,1993-01-29 22:06:00,0.815,11.0,van Bladeren Record,11.0,0,1629,349.0,
1993,1994-02-12 23:48:00,1.042,26.416999999999998,,26.416999999999998,0,2156,365.0,
1994,1995-03-26 12:00:00,0.983,21.756,,21.756,0,2156,362.0,
1995,1996-02-14 06:00:00,1.8459999999999999,128.418,,128.418,0,2044,355.0,
1996,1997-03-06 01:30:00,1.8230000000000002,124.40899999999999,,124.40899999999999,0,2358,357.0,
1997,1998-01-03 00:36:00,0.941,18.69,,18.69,0,2722,361.0,
1998,1998-11-19 16:30:00,1.37,59.24,,59.24,0,2595,359.0,
1999,2000-02-10 04:28:00,1.982,154.079,,154.079,0,2923,352.0,
2000,2000-12-11 13:04:00,1.083,29.912,,29.912,0,3250,365.0,
2001,2001-11-17 03:39:00,0.924,17.51,,17.51,0,3378,365.0,
2002,2003-02-20 22:51:00,0.7190000000000001,7.222,,7.222,0,2537,322.0,
2003,2003-11-24 08:00:00,0.9059999999999999,16.308,,16.308,0,3725,366.0,
2004,2005-01-22 00:28:00,0.721,7.287999999999999,,7.287999999999999,0,37309,365.0,
2005,2006-02-10 21:05:00,1.276,48.644,,48.644,0,33201,365.0,
2006,2006-11-18 17:59:00,0.8590000000000001,13.401,,13.401,0,4632,365.0,
2007,2008-01-23 14:00:00,1.09,30.53,,30.53,0,39357,366.0,
2008,2009-02-04 14:39:00,1.217,42.545,,42.545,0,39821,365.0,
2009,2010-04-01 02:38:00,1.038,26.085,,26.085,0,32450,365.0,
2010,2010-12-16 13:16:00,1.848,128.759,,128.759,0,34111,365.0,
2011,2012-02-20 12:01:00,1.27,48.01,,48.01,0,36111,366.0,
2012,2013-04-20 13:38:00,1.07,28.79,,28.79,0,38420,365.0,
2013,2014-02-03 13:03:00,2.053,168.528,,168.528,0,38820,365.0,
2014,2014-12-11 10:34:00,0.9,15.92,,15.92,0,35810,365.0,
2015,2016-03-10 09:00:00,1.202,41.047,,41.047,0,18571,366.0,
2016,2017-02-22 00:22:00,0.998,22.897,,22.897,0,2906,365.0,
2017,2018-03-23 12:00:00,1.167,37.63,,37.63,0,14835,206.0,
