Hydroyear,DATE,COR.LEVEL,COR.FLOW,COMMENTS,EXT.FLOW,PERC.EXC,NUMREC,NUMDAYS,Exclusion Comments
1983,1984-08-07 08:00:00,-13.7,0.0,,0.0,0,103,71.0,
1984,1985-01-29 15:54:00,-9.657,0.0,,0.0,0,953,305.0,
1985,1985-11-08 13:24:00,-11.234000000000002,0.0,,0.0,0,382,203.0,
1986,1987-06-30 08:06:00,-9.049,0.0,,0.0,0,445,275.0,
1987,1988-06-09 11:00:00,-5.404,0.0,,0.0,0,343,219.0,
1988,1989-07-13 08:00:00,-3.68,0.0,,0.0,0,220,154.0,
1989,1990-05-09 05:12:00,-3.2689999999999997,0.0,,0.0,0,323,176.0,
1990,1991-06-27 08:54:00,-1.48,0.0,,0.0,0,197,146.0,
1991,1991-10-03 12:06:00,-2.93,0.0,,0.0,0,150,127.0,
1992,1992-10-02 02:12:00,-8.668,0.0,,0.0,0,362,239.0,
1993,1994-06-21 01:00:00,-7.569,0.0,,0.0,0,280,191.0,
1994,1995-06-09 13:12:00,-7.01,0.0,,0.0,0,311,203.0,
1995,1996-04-21 19:54:00,0.6970000000000001,0.0,,0.0,0,526,238.0,
1996,1997-05-27 13:18:00,0.7120000000000001,0.0,,0.0,0,505,269.0,
1997,1998-01-02 00:00:00,0.16,0.0,,0.0,0,294,177.0,
1998,1998-12-02 10:30:00,0.258,0.0,,0.0,0,396,233.0,
1999,2000-02-09 14:13:00,0.9109999999999999,0.0,,0.0,0,644,283.0,
2000,2001-07-29 12:41:00,0.43799999999999994,0.0,,0.0,0,674,310.0,
2001,2002-07-31 15:05:00,0.19,0.0,,0.0,0,619,290.0,
2002,2002-10-01 17:55:00,-0.723,0.0,,0.0,0,637,328.0,
2003,2004-05-26 13:55:00,0.4,0.0,,0.0,0,633,319.0,
2004,2005-04-22 13:28:00,0.281,0.0,,0.0,0,282,191.0,
2005,2006-03-08 17:31:00,0.408,0.0,,0.0,0,3402,250.0,
2006,2007-01-01 21:50:00,0.223,0.0,,0.0,0,43579,365.0,
2007,2008-03-17 09:45:00,0.461,0.0,,0.0,0,29497,366.0,
2008,2009-07-14 03:49:00,0.47,0.0,,0.0,0,33930,365.0,
2009,2010-05-04 15:18:00,0.49700000000000005,0.0,,0.0,0,32743,362.0,
2010,2011-06-10 17:29:00,0.45799999999999996,0.0,,0.0,0,20721,335.0,
2011,2012-04-30 20:38:00,0.32899999999999996,0.0,,0.0,0,31250,355.0,
2012,2013-05-24 19:28:00,0.366,0.0,,0.0,0,37079,365.0,
2013,2014-06-25 03:04:00,0.361,0.0,,0.0,0,39343,365.0,
2014,2015-05-22 01:09:00,0.264,0.0,,0.0,0,34957,365.0,
2015,2016-05-16 09:35:00,0.385,0.0,,0.0,0,32960,366.0,
2016,2017-02-22 09:32:00,0.597,0.0,,0.0,0,26742,360.0,
2017,2018-05-27 01:38:00,0.319,0.0,,0.0,0,20306,240.0,
